que_id,que_q,que_a
11,高等教育自学考试到底是什么意思？,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
12,什么是高等教育自学考试，能否详细说明？,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
13,高等教育自学考试应该如何理解,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
14,怎么理解高等教育自学考试,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
15,高等教育自学考试定义,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
16,如何理解高等教育自学考试,高等教育自学考试（以下简称自学考试）是对自学考试参加者（以下简称考生）进行以学历考试为主的高等教育国家考试，是个人自学、社会助学和国家考试相结合的高等教育形式。考生按省级教育考试机构规定的时间和地点报名并参加考试，在取得一门以上（含）课程合格成绩后，由省级教育考试机构为其建立考籍管理档案。考生在取得专业计划规定的全部课程合格成绩、完成主考学校毕业考核或论文答辩等其他教学实践任务、思想品德鉴定合格、符合毕业条件的，可按规定申请毕业；获得自学考试专科、本科毕业证书者，国家承认其学历。符合学位授予条件的自学考试本科毕业生，由有学位授予权的主考学校依照有关规定，授予学士学位。（以上信息来源于中国教育考试网，教育部教育考试院主办）
17,如何理解个人自学、社会助学和国家考试？,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
18,怎么理解个人自学、社会助学和国家考试？,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
19,什么是个人自学、社会助学和国家考试？,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
20,个人自学、社会助学和国家考试是什么,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
21,什么是个人自学,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
22,什么是社会助学,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
23,什么是国家考试,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
24,如何理解个人自学,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
25,如何理解社会助学,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
26,如何理解国家考试,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
27,个人自学、社会助学和国家考试,个人自学是考生所开展的自主学习活动，其途径多种多样。考生可根据自身条件和意愿自主选择学习方式，可以自己读书学习，也可以参加各类教育机构组织的课程学习。社会助学是指各类高等学校、教育培训机构和其他社会力量通过面授、函授、网络等多种形式，为考生创造学习条件，对其所选课程进行教学、辅导或培训的教育活动，其目的是协助考生更好地掌握课程内容，达到专业计划规定的培养要求。国家考试是指自学考试作为国家教育统一考试，由各省级教育考试机构在省级考委和教育行政部门的领导下，组织与管理本地区的考试实施工作。自学考试课程根据命题的组织和使用范围分为全国统一命题课程和省级命题课程两类。全国统一命题课程指在全国范围内统一使用由国家教育考试机构或指定的命题中心组织命题的课程，省级命题课程指在本省范围内使用并由本省教育考试机构组织或省际间联合组织命题的课程。无论全国统一命题课程还是省级命题课程，均属自学考试国家考试课程。（以上信息来源于中国教育考试网，教育部教育考试院主办）
28,广东省自学考试有哪些专业？,可在广东省自学考试管理系统—考生入口—公开查询—专业查询。或在公告栏内查询《广东省自学考试专业计划简表》。
29,广东省自学考试专业,可在广东省自学考试管理系统—考生入口—公开查询—专业查询。或在公告栏内查询《广东省自学考试专业计划简表》。
30,广东省自学考试专业有哪些,可在广东省自学考试管理系统—考生入口—公开查询—专业查询。或在公告栏内查询《广东省自学考试专业计划简表》。
31,广东省自学考试专业在哪查看,可在广东省自学考试管理系统—考生入口—公开查询—专业查询。或在公告栏内查询《广东省自学考试专业计划简表》。
32,在哪查广东省自学考试专业,可在广东省自学考试管理系统—考生入口—公开查询—专业查询。或在公告栏内查询《广东省自学考试专业计划简表》。
33,如何查广东省自学考试专业,可在广东省自学考试管理系统—考生入口—公开查询—专业查询。或在公告栏内查询《广东省自学考试专业计划简表》。
34,广东省自学考试有哪些专业,可在广东省自学考试管理系统—考生入口—公开查询—专业查询。或在公告栏内查询《广东省自学考试专业计划简表》。
35,如何理解专业停考与过渡期？,广东省自学考试委员会可根据国家法规政策、全国考委要求、已开考专业的社会需求变化及实施情况决定停考专业。专业的停考工作会按正常程序进行，在充分考虑了考生权益的基础上，提前公布并设置必要合理的过渡期。停考专业详情可在广东省教育考试院官网查询（建议使用关键词“停考”）。
36,怎么理解专业停考与过渡期？,广东省自学考试委员会可根据国家法规政策、全国考委要求、已开考专业的社会需求变化及实施情况决定停考专业。专业的停考工作会按正常程序进行，在充分考虑了考生权益的基础上，提前公布并设置必要合理的过渡期。停考专业详情可在广东省教育考试院官网查询（建议使用关键词“停考”）。
37,什么是专业停考与过渡期,广东省自学考试委员会可根据国家法规政策、全国考委要求、已开考专业的社会需求变化及实施情况决定停考专业。专业的停考工作会按正常程序进行，在充分考虑了考生权益的基础上，提前公布并设置必要合理的过渡期。停考专业详情可在广东省教育考试院官网查询（建议使用关键词“停考”）。
38,专业停考与过渡期是什么,广东省自学考试委员会可根据国家法规政策、全国考委要求、已开考专业的社会需求变化及实施情况决定停考专业。专业的停考工作会按正常程序进行，在充分考虑了考生权益的基础上，提前公布并设置必要合理的过渡期。停考专业详情可在广东省教育考试院官网查询（建议使用关键词“停考”）。
39,专业停考与过渡期含义,广东省自学考试委员会可根据国家法规政策、全国考委要求、已开考专业的社会需求变化及实施情况决定停考专业。专业的停考工作会按正常程序进行，在充分考虑了考生权益的基础上，提前公布并设置必要合理的过渡期。停考专业详情可在广东省教育考试院官网查询（建议使用关键词“停考”）。
40,专业停考与过渡期是什么意思,广东省自学考试委员会可根据国家法规政策、全国考委要求、已开考专业的社会需求变化及实施情况决定停考专业。专业的停考工作会按正常程序进行，在充分考虑了考生权益的基础上，提前公布并设置必要合理的过渡期。停考专业详情可在广东省教育考试院官网查询（建议使用关键词“停考”）。
41,专业停考与过渡期怎么理解,广东省自学考试委员会可根据国家法规政策、全国考委要求、已开考专业的社会需求变化及实施情况决定停考专业。专业的停考工作会按正常程序进行，在充分考虑了考生权益的基础上，提前公布并设置必要合理的过渡期。停考专业详情可在广东省教育考试院官网查询（建议使用关键词“停考”）。
42,专业停考与过渡期,广东省自学考试委员会可根据国家法规政策、全国考委要求、已开考专业的社会需求变化及实施情况决定停考专业。专业的停考工作会按正常程序进行，在充分考虑了考生权益的基础上，提前公布并设置必要合理的过渡期。停考专业详情可在广东省教育考试院官网查询（建议使用关键词“停考”）。
